subject.auto(),number.string(),name.auto(),section.string(),crn.string(),slot.string(),days.auto(),starttime.auto(),endtime.auto(),roombuild.auto(),roomnumber.string(),type.auto(),method.auto(),associatedleclab.string(),phon.auto(),waitlist.auto(),precheck.auto(),reservelifted.auto(),attribute.auto(),credhr.string(),billhr.string(),prime_instr.auto(),secnd_instr.auto(),availto.auto(),reservefordegree.auto(),reserveformajor.auto(),reserveforminor.auto(),xlist.auto()
BUSI,3310,"Organizational Behaviour",001,77419,17,"T,R",0900,1015,BN,1010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,J Adeniyi,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,3325,"Human Resource Mgmt",001,98066,14,"M,W",1530,1645,BN,1010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,C Duffett,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,3335,"Labour Relations",001,98068,18,"T,R",1030,1145,BN,1010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,C Thomas,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,3401,"Operations Management",001,96194,11,"M,W",1030,1145,BN,3007,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,Y Song,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,3405,"Optimization I:Applications",001,98070,99,,,,,,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,D Tulett,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,3406,"Optimization II:Algorithms",001,98071,99,,,,,,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,D Tulett,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,3550,"Financial Management I",001,98076,18,"T,R",1030,1145,BN,2028,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,C Clouston,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,3630,"Venture Creation",001,98503,13,"M,W",1400,1515,BN,1010,LEC,IP,,"Y,Y",Y,N,Y,,3,3,C Bazan,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,3700,"Information Systems",001,98628,10,"M,W",0900,1015,BN,1010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,J Parsons,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,399W,"Work Term I",001,60163,99,,,,,,WRK,IP,,"A,A",N,Y,N,,0,NA,S Noseworthy,L Mur,"BA","BC",,,
BUSI,4005,"Business Law II",056,98078,G26,"T,R",1730,1845,BN,2028,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,D Worsfold,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,4050,"Strategic Management I",056,96642,G25,"M,W",1730,1845,BN,1010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,C Park,,,"BBA,BC,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,4101,"Intermediate Accounting I",001,98082,10,"M,W",0900,1015,BN,2028,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,J Cumby,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,4217,"Professional Selling",001,98084,23,"T,R",1230,1345,BN,3010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,K Shannahan,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,4221,"Marketing Research",001,98086,11,"M,W",1030,1145,BN,1010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,T Jones,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,4315,"Organizational Theory",001,98088,23,"T,R",1230,1345,BN,3007,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,R Preston,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,4315,"Organizational Theory",002,98505,19,"T,R",1400,1515,BN,2028,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,L Harris,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,4336,"Intnl Labour Relations",R01,98632,14,"M,W",1530,1645,,,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,G Cooke,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,4415,"Supply Chain Management",001,98092,13,"M,W",1400,1515,BN,1008,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,T Williams,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,4420,"Logistics Management",001,98094,14,"M,W",1530,1645,BN,3010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,G Ke,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,450W,"Busi Mthds Practice I",001,60168,99,,,,,,IND,IS,,"Y,Y",N,N,N,,0,3,,,,"DBA",,,
BUSI,4540,"Investments",056,98096,33,"R",1900,2130,BN,3007,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,L Nash,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU","BUSI 9320-056"
BUSI,4550,"Financial Management II",001,98100,13,"M,W",1400,1515,BN,3007,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,M Allahverdia,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,4605,"Small Business Consulting",001,98102,18,"T,R",1030,1145,BN,3010,LEC,IP,,"D,D",Y,Y,Y,,3,3,B Winsor,J Jew,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,499W,"Work Term 2",001,75288,99,,,,,,WRK,IP,,"N,N",N,Y,N,,0,NA,S Noseworthy,L Mur,,"BC",,,
BUSI,5001,"Strategic Management",056,98104,G25,"M,W",1730,1845,BN,3010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,K Myrick,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,5120,"Adv Financial Accounting",001,98106,12,"M,W",1230,1345,BN,2028,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,P Downer,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,5125,"Accounting Capstone",001,98110,11,"M,W",1030,1145,BN,2028,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,J Cumby,P Dow,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,5165,"Adv Tpcs Manage Accounting",056,98112,30,"M",1900,2130,,,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,D Dober,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,5230,"Strat Marketing Mgmt",001,98114,12,"M,W",1230,1345,BN,3010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,T Clift,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,5320,"HR Management Training",001,98116,13,"M,W",1400,1515,BN,3010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,S Mahdavi,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,5325,"Sem in Human Resource Mgmt",001,98074,19,"T,R",1400,1515,BN,3010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,F Ajayi,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,5550,"Advanced Finance",056,98118,31,"T",1900,2130,BN,3010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,P Purohit,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,599W,"Work Term 3",001,70667,99,,,,,,WRK,IP,,"N,N",N,Y,N,,0,NA,S Noseworthy,L Mur,,"BC",,,
BUSI,6006,"Research Project",001,79832,99,,,,,,LEC,IP,,"D,D",N,N,N,,3,3,,,,"BBA,BC,IBBA","MUBU",,
BUSI,6018,"Special Topics",001,99347,99,,,,,,IND,IS,,"N,N",Y,N,N,,3,3,,,,"BBA,BC",,,
BUSI,6054,"Leading and Managing Teams",001,98120,17,"T,R",0900,1015,BN,3010,LEC,IP,,"Y,Y",Y,N,Y,,3,3,L Harris,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,750W,"Busi Mthds Practice II",001,61405,99,,,,,,IND,IS,,"Y,Y",N,N,N,,0,3,,,,"BCN",,,
CHEM,1010,"Introductory Chemistry I",001,62381,F06,"M,T,W,R",1300,1350,SN,2109,LEC,IP,"004,003","Y,Y",Y,Y,,L Q,3,3,L Cahill,,,,,,
CHEM,1010,"Introductory Chemistry I",002,62387,F06,"M,T,W,R",1300,1350,SN,2109,LEC,IP,,"Y,Y",N,Y,,L Q,3,3,L Cahill,,,,,,
CHEM,1010,"Laboratory",003,62385,63,"W",1400,1650,CSF,2247,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1010,"Laboratory",004,67399,44,"R",0900,1150,CSF,2247,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1050,"General Chemistry I",001,68935,F05,"M,W,F",1200,1250,EN,2043,LEC,IP,"005,006,007,011,009,010,008","Y,Y",Y,Y,,L Q,3,3,K Hattenhauer,,,,,,
CHEM,1050,"General Chemistry I",001,68935,F05,"R",1100,1150,EN,2043,LEC,IP,"005,006,007,011,009,010,008","Y,Y",Y,Y,,L Q,3,3,K Hattenhauer,,,,,,
CHEM,1050,"General Chemistry I",002,68937,F05,"M,W,F",1200,1250,EN,2043,LEC,IP,,"Y,Y",N,Y,,L Q,3,3,K Hattenhauer,,,,,,
CHEM,1050,"General Chemistry I",002,68937,F05,"R",1100,1150,EN,2043,LEC,IP,,"Y,Y",N,Y,,L Q,3,3,K Hattenhauer,,,,,,
CHEM,1050,"General Chemistry I",003,69356,F06,"M,T,W,R",1300,1350,IIC,2001,LEC,B,"005,006,007,011,009,010,008","Y,Y",Y,Y,,L Q,3,3,E Merschrod,,,,,,
CHEM,1050,"General Chemistry I",004,71242,F06,"M,T,W,R",1300,1350,IIC,2001,LEC,B,,"Y,Y",N,Y,,L Q,3,3,E Merschrod,,,,,,
CHEM,1050,"Laboratory",005,83024,61,"M",1400,1650,CSF,2247,LAB,IP,"003,001","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1050,"Laboratory",006,84416,42,"T",0900,1150,CSF,2247,LAB,IP,"003,001","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1050,"Laboratory",007,89332,62,"T",1400,1650,CSF,2247,LAB,IP,"003,001","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1050,"Laboratory",008,91254,43,"W",0900,1150,CSF,2247,LAB,IP,"003,001","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1050,"Laboratory",009,94847,64,"R",1400,1650,CSF,2247,LAB,IP,"003,001","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1050,"Laboratory",010,94848,45,"F",0900,1150,CSF,2247,LAB,IP,"003,001","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1050,"Laboratory",011,94849,65,"F",1400,1650,CSF,2247,LAB,IP,"003,001","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1050,"Laboratory",012,99192,44,"R",0900,1150,CSF,2249,LAB,,"003,001","Y,Y",N,N,,Q,0,NA,,,,,,,
CHEM,1051,"General Chemistry II",001,63988,F03,"M,W,R,F",1000,1050,EN,2006,LEC,IP,"007,008,009,014,011,012,013,010","Y,Y",Y,Y,,L Q,3,3,B Power,,,,,,
CHEM,1051,"General Chemistry II",002,63989,F03,"M,W,R,F",1000,1050,EN,2006,LEC,IP,,"Y,Y",N,Y,,L Q,3,3,B Power,,,,,,
CHEM,1051,"General Chemistry II",003,63990,F05,"M,W,F",1200,1250,EN,2006,LEC,B,"007,008,009,014,011,012,013,010","Y,Y",Y,Y,,L Q,3,3,T Fridgen,,,,,,
CHEM,1051,"General Chemistry II",003,63990,F05,"R",1100,1150,EN,2006,LEC,B,"007,008,009,014,011,012,013,010","Y,Y",Y,Y,,L Q,3,3,T Fridgen,,,,,,
CHEM,1051,"General Chemistry II",004,67863,F05,"M,W,F",1200,1250,EN,2006,LEC,B,,"Y,Y",N,Y,,L Q,3,3,T Fridgen,,,,,,
CHEM,1051,"General Chemistry II",004,67863,F05,"R",1100,1150,EN,2006,LEC,B,,"Y,Y",N,Y,,L Q,3,3,T Fridgen,,,,,,
CHEM,1051,"General Chemistry II",005,68223,F06,"M,T,W,R",1300,1350,C,2004,LEC,IP,"007,008,009,014,011,012,013,010","Y,Y",Y,Y,,L Q,3,3,B Power,,,,,,
CHEM,1051,"General Chemistry II",006,69358,F06,"M,T,W,R",1300,1350,C,2004,LEC,IP,,"Y,Y",N,Y,,L Q,3,3,B Power,,,,,,
CHEM,1051,"Laboratory",007,77549,61,"M",1400,1650,CSF,2249,LAB,IP,"001,005,003","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1051,"Laboratory",008,85572,42,"T",0900,1150,CSF,2249,LAB,IP,"001,005,003","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1051,"Laboratory",009,86936,62,"T",1400,1650,CSF,2249,LAB,IP,"001,005,003","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1051,"Laboratory",010,87508,43,"W",0900,1150,CSF,2249,LAB,IP,"001,005,003","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1051,"Laboratory",011,88569,63,"W",1400,1650,CSF,2249,LAB,IP,"001,005,003","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1051,"Laboratory",012,88818,64,"R",1400,1650,CSF,2249,LAB,IP,"001,005,003","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1051,"Laboratory",013,89330,65,"F",1400,1650,CSF,2249,LAB,IP,"001,005,003","Y,Y",N,N,,Q,0,NA,R Halliday,S Smi,,,,,
CHEM,1051,"Laboratory",014,99165,62,"T",1400,1650,CSF,2247,LAB,IP,"001,005,003","Y,Y",N,Y,,Q,0,NA,,,,,,,
CHEM,2100,"Analytical Chemistry I",001,77551,16,"T,R",1200,1250,EN,2006,LEC,IP,"003,006,005,004","Y,Y",Y,Y,,L Q,3,3,G Abu Alsoud,,,,,,
CHEM,2100,"Analytical Chemistry I",002,77769,16,"T,R",1200,1250,EN,2006,LEC,IP,,"Y,Y",N,Y,,L Q,3,3,G Abu Alsoud,,,,,,
CHEM,2100,"Laboratory",003,77553,64,"R",1400,1650,,,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,Y Favaro,S Smi,,,,,
CHEM,2100,"Laboratory",004,86838,44,"R",0900,1150,,,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,Y Favaro,S Smi,,,,,
CHEM,2100,"Laboratory",005,86840,63,"W",1400,1650,,,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,Y Favaro,S Smi,,,,,
CHEM,2100,"Laboratory",006,97550,61,"M",1400,1650,,,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,Y Favaro,S Smi,,,,,
CHEM,2302,"Quantum Chem & Spectroscopy",001,75725,05,"M,W,F",1200,1250,SN,4063,LEC,IP,"003,006,005,004","Y,Y",Y,Y,Y,L Q,3,3,T Stockmann,,,,"CHEM,CHMB",,
CHEM,2302,"Quantum Chem & Spectroscopy",002,75729,05,"M,W,F",1200,1250,SN,4063,LEC,IP,,"Y,Y",N,Y,,L Q,3,3,T Stockmann,,,,,,
CHEM,2302,"Laboratory",003,75727,42,"T",0900,1150,,,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,N Ryan,S Smi,,,,,
CHEM,2302,"Laboratory",004,75731,64,"R",1400,1650,,,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,N Ryan,S Smi,,,,,
CHEM,2302,"Laboratory",005,75733,44,"R",0900,1150,,,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,N Ryan,S Smi,,,,,
CHEM,2302,"Laboratory",006,97552,62,"T",1400,1650,,,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,N Ryan,S Smi,,,,,
CHEM,2400,"Intro Organic Chemistry I",001,88469,17,"T,R",0900,1015,C,2004,LEC,IP,"003,006,005,004","Y,Y",Y,Y,,Q,3,3,S Pansare,H Gro,,,,,
CHEM,2400,"Intro Organic Chemistry I",002,88576,17,"T,R",0900,1015,C,2004,LEC,IP,,"Y,Y",N,Y,,L Q,3,3,S Pansare,H Gro,,,,,
CHEM,2400,"Laboratory",003,89308,,"M",1000,1250,CSF,3318,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,2400,"Laboratory",004,90180,,"F",1000,1250,CSF,3318,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,2400,"Laboratory",005,97553,62,"T",1400,1650,CSF,3321,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,2400,"Laboratory",006,98262,,"W",1000,1250,CSF,3318,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,2401,"Intro Organic Chem II",001,63995,03,"M,W,F",1000,1050,ED,1020,LEC,IP,"009,003,004,005,007,008,006","Y,Y",Y,Y,Y,L Q,3,3,Y Zhao,,,"PD",,,
CHEM,2401,"Intro Organic Chem II",002,68139,03,"M,W,F",1000,1050,ED,1020,LEC,IP,,"Y,Y",N,Y,,Q,3,3,Y Zhao,,,,,,
CHEM,2401,"Laboratory",003,64000,42,"T",0900,1150,CSF,3318,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,2401,"Laboratory",004,64001,44,"R",0900,1150,CSF,3318,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,2401,"Laboratory",005,98263,61,"M",1400,1650,CSF,3318,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,2401,"Laboratory",006,70516,64,"R",1400,1650,CSF,3318,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,2401,"Laboratory",007,88575,63,"W",1400,1650,,,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,2401,"Laboratory",008,96733,65,"F",1400,1650,,,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,2401,"Laboratory",009,63998,62,"T",1400,1650,CSF,3318,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,2401,"Intro Organic Chem II",010,98508,03,"M,W,F",1000,1050,ED,1020,LEC,IP,"011","Y,Y",N,Y,N,Q,3,3,A Sheppard,S Smi,,"PD",,,
CHEM,2401,"Laboratory",011,98509,63,"W",1400,1650,CSF,3318,LAB,IP,"010","Y,Y",N,N,,Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,2610,"Chemical Oceanography",001,88413,03,"M,W,F",1000,1050,A,1046,LEC,IP,,"Y,Y",Y,Y,,Q,3,3,P Trela,,,,,,"OCSC 2100-001"
CHEM,3211,"Inorganic Chemistry",001,60243,16,"T,R",1200,1250,C,4002,LEC,IP,"004,003","Y,Y",Y,Y,,L Q,3,3,M Katz,,,,,,
CHEM,3211,"Inorganic Chemistry",002,88588,16,"T,R",1200,1250,C,4002,LEC,IP,,"Y,Y",N,Y,,L Q,3,3,M Katz,,,,,,
CHEM,3211,"Laboratory",003,69529,42,"T",0900,1150,CSF,3205,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,S Payne,S Smi,,,,,
CHEM,3211,"Laboratory",004,97579,62,"T",1400,1650,CSF,3205,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,S Payne,S Smi,,,,,
CHEM,3303,"Stat Thermodynamics&Rate Th",001,75735,05,"M,W,F",1200,1250,C,4002,LEC,IP,"003,005,004","Y,Y",Y,Y,,L Q,3,3,B Power,,,,,,
CHEM,3303,"Stat Thermodynamics&Rate Th",002,88590,05,"M,W,F",1200,1250,C,4002,LEC,IP,,"Y,Y",N,Y,,L Q,3,3,B Power,,,,,,
CHEM,3303,"Laboratory",003,75739,63,"W",1400,1650,CSF,3204,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,N Ryan,S Smi,,,,,
CHEM,3303,"Laboratory",004,97016,65,"F",1400,1650,,,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,N Ryan,S Smi,,,,,
CHEM,3303,"Laboratory",005,97581,61,"M",1400,1650,CSF,3204,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,N Ryan,S Smi,,,,,
CHEM,3411,"Synthetic Organic Chem I",001,65254,03,"M,W,F",1000,1050,C,4011,LEC,IP,"004,005,003","Y,Y",Y,Y,Y,L Q,3,3,G Bodwell,,,,"CHEM,CHMB",,
CHEM,3411,"Synthetic Organic Chem I",002,85627,03,"M,W,F",1000,1050,C,4011,LEC,IP,,"Y,Y",N,Y,,Q,3,3,G Bodwell,,,,,,
CHEM,3411,"Laboratory",003,65257,64,"R",1400,1650,,,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,3411,"Laboratory",004,65256,44,"R",0900,1150,CSF,3321,LAB,IP,"001","Y,Y",N,N,,L Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,3411,"Laboratory",005,97582,61,"M",1400,1650,CSF,3321,LAB,IP,"001","Y,Y",N,N,,Q,0,NA,A Sheppard,S Smi,,,,,
CHEM,4152,"Electroanalytical Tchnqs",001,98264,11,"M,W",1030,1145,SN,4040,LEC,IP,,"Y,Y",Y,Y,,Q,3,3,T Stockmann,,,,,,
CHEM,4156,"Anal. Methods and Sampling",001,94090,17,"T,R",0900,1015,C,4011,LEC,IP,,"Y,Y",Y,Y,,Q,3,3,K Jobst,,,,,,
CHEM,4203,"Organometallic Chemistry",001,98265,02,"M,W,F",0900,0950,C,4002,LEC,IP,,"Y,Y",Y,Y,,Q,3,3,C Kozak,,,,,,
CHEM,4206,"Green Chemistry",001,92190,18,"T,R",1030,1145,C,4002,LEC,IP,,"Y,Y",Y,Y,,L Q,3,3,F Kerton,,,,,,"CHEM 6206-001"
CHEM,4431,"Heterocyclic Chemistry",002,98783,06,"M,T,R",1300,1350,C,2026,LEC,IP,,"Y,Y",Y,Y,,,3,3,H Grover,,,,,,
CHEM,4701,"Pharmaceutical Chemistry",001,98670,,"T,R",1415,1530,H,2860,LEC,,,"Y,Y",Y,Y,,Q,3,3,L Alisaraie,,,,,,
CHEM,490B,"Honours Thesis",001,60259,,"F",1100,1150,SN,2036,DST,IP,,"Y,Y",N,N,,Q,6,3,L Cahill,,,,,,
CIV,5110,"Fluid Mechanics",001,94396,08,"M,W,F",1500,1550,EN,2056,LEC,IP,"002","Y,Y",N,Y,N,,3,3,R Dayarathne,,"E5","BE","ENCV",,
CIV,5110,"Laboratory",002,98329,41,"M",0900,1150,EN,1035,LAB,IP,"001","Y,Y",N,N,,,0,NA,R Dayarathne,,,,,,
CIV,5230,"Geotechnical Engineering II",001,94398,05,"M,W,F",1200,1250,EN,2056,LEC,IP,"002","Y,Y",N,Y,N,,3,3,B Hawlader,,,,"ENCV",,
CIV,5230,"Laboratory",002,98330,,"M",0900,1200,EN,1033,LAB,IP,"001","Y,Y",N,N,,,0,NA,B Hawlader,,,,,,
CIV,5320,"Mechanics of Solids II",001,94317,,"T,R",1300,1415,EN,2056,LEC,IP,"002","Y,Y",N,Y,N,,3,3,A Hassan,,"E5",,"ENCV",,
CIV,5320,"Laboratory",002,98331,,"M,R",0900,1200,EN,1033,LAB,IP,"001","Y,Y",N,N,,,0,NA,A Hassan,,,,,,
CIV,5460,"Applied Mathematical Analys",001,94321,,"M,W,F",1400,1500,EN,2056,LEC,IP,,"Y,Y",N,Y,N,,3,3,S Adluri,,"E5",,"ENCV",,
CIV,5510,"Design of Concrete Structur",001,94394,,"T,R",1430,1545,EN,2056,LEC,IP,"002","Y,Y",N,Y,N,,3,3,A Hassan,,"E5","BE","ENCV",,
CIV,5510,"Laboratory",002,98332,44,"R",0900,1150,EN,1036,LAB,IP,"001","Y,Y",N,N,,,0,NA,A Hassan,,,,,,
CIV,8000,"Civil Engineering Project",001,94734,,"R",1200,1250,EN,2050,LEC,IP,"002","Y,Y",N,N,N,,3,3,S Bruneau,B Pea,"E8","BE","ENCV",,
CIV,8000,"Laboratory",002,98333,,"M",1400,1700,EN,2050,LAB,IP,"001","Y,Y",N,N,,,0,NA,S Bruneau,,,,,,
CIV,8150,"Municipal Engineering",001,94738,05,"M,W,F",1200,1250,EN,2050,LEC,IP,"002","Y,Y",N,Y,N,,3,3,K Snelgrove,,,"BE",,,
CIV,8150,"Laboratory",002,98334,,"W",1400,1700,EN,3000,LAB,,"001","Y,Y",N,N,,,0,NA,K Snelgrove,,,,,,
CIV,8550,"Structural Building Systems",001,94736,02,"M,W,F",0900,0950,EN,2050,LEC,,"002","Y,Y",N,Y,N,,3,3,S Adluri,,"E8","BE","ENCV",,
CIV,8550,"Laboratory",002,98335,,"T",1400,1700,EN,2050,LAB,IP,"001","Y,Y",N,N,,,0,NA,S Adluri,,,,,,
CIV,8570,"Coastal & Ocean Engineering",001,94742,03,"M,W,F",1000,1050,EN,2050,LEC,IP,,"Y,Y",N,Y,N,,3,3,S Bruneau,,,,"ENCV,ENSH",,
CIV,8580,"Subsea Pipeline Engineering",001,94726,17,"T,R",0900,1015,EN,2050,LEC,IP,,"Y,Y",N,Y,N,,3,3,H Shiri,,,,"ENCV,ENSH",,
CIV,8630,"Env Assess, Monitor & Contr",001,94809,04,"M,W,F",1100,1150,EN,2050,LEC,IP,,"Y,Y",N,Y,N,,3,3,N Saady,,"E8","BE","ENCV",,
CIV,8830,"Contract Law & Labour Relat",001,94740,18,"T,R",1030,1145,EN,2050,LEC,IP,,"Y,Y",N,N,N,,3,3,R Wellon,,,"BE",,,
CLAS,1001,"CRW: Classics in Pop Cultur",001,88775,05,"M,W,F",1200,1250,A,1049,LEC,IP,,"Y,Y",Y,N,,,3,3,K Solez,,,,,,
CLAS,1051,"Gods in Classical Mythology",001,97958,08,"M,W,F",1500,1550,A,1046,LEC,IP,,"Y,Y",Y,N,,,3,3,M Locke,,,,,,
CLAS,1052,"Heroes in Classical Mytholo",001,90371,04,"M,W,F",1100,1150,A,1046,LEC,IP,,"Y,Y",Y,N,,,3,3,M Locke,,,,,,
CLAS,1131,"Intro Ancient Greek II",001,81582,F02,"M,T,W,F",0900,0950,A,1049,LEC,IP,,"Y,Y",Y,Y,,,3,3,K Simonsen,,,,,,"MEMS 1131-001"
CLAS,2041,"History of the Roman Republ",001,97940,03,"M,W,F",1000,1050,A,2071,LEC,IP,,"Y,Y",Y,N,,,3,3,J Howard,,,,,,"HIST 2041-001"
CLAS,2055,"Women in the Ancient World",001,97944,07,"M,W,F",1400,1450,A,1049,LEC,IP,,"Y,Y",Y,N,,W,3,3,K Solez,,,,,,
CLAS,3200,"Advanced Latin",001,88445,04,"M,W,F",1100,1150,SN,4063,LEC,IP,,"Y,Y",Y,Y,,,3,3,M Nikolic,,,,,,"MEMS 3200-001"
